祝福,星级,命途
神性构筑谐振传递,3,存护
神性构筑超静定场,3,存护
神性构筑宏观偏析,3,存护
完美体验浮黎,3,记忆
完美体验纯真,3,记忆
完美体验缄默,3,记忆
感官追奉者的葬礼,3,虚无
多余人的日记,3,虚无
为何一切尚未消失,3,虚无
葳蕤繁祉延彼遐龄,3,丰饶
若罪若福施诸愿印,3,丰饶
丰饶众生一法界心,3,丰饶
帝星君临制穹桑,3,巡猎
帝车超光所向捷,3,巡猎
帝弓断空彻太清,3,巡猎
类星体熔毁常数,3,毁灭
临界密度扩张群,3,毁灭
湮灭回归不等式,3,毁灭
葡萄庄园抵抗黑夜,3,欢愉
四号屠场众生安眠,3,欢愉
斩首之邀暗箱哭泣,3,欢愉
子囊释放,3,繁育
菌种脓疱,3,繁育
镰刀肢足,3,繁育
BCI34型灰质,3,智识
SMR2型杏仁核,3,智识
VEP18型枕叶,3,智识
星间构筑切变结构,2,存护
星间构筑固溶强化,2,存护
星间构筑安全载荷,2,存护
星间构筑回馈庇护,2,存护
星间构筑四棱锥体,2,存护
星间构筑过共晶体,2,存护
极端体验头晕目眩,2,记忆
极端体验麻木不仁,2,记忆
极端体验瞻前顾后,2,记忆
极端体验洞若观火,2,记忆
极端体验不寒而栗,2,记忆
极端体验特立独行,2,记忆
开端与终结,2,虚无
自欺咖啡馆,2,虚无
致死的疾病,2,虚无
火堆外的夜,2,虚无
他人即地狱,2,虚无
无根据颂歌,2,虚无
灭罪累生善,2,丰饶
天人不动众,2,丰饶
宝光烛日月,2,丰饶
厌离邪秽苦,2,丰饶
明澈琉璃身,2,丰饶
大愿般若船,2,丰饶
天舟缴夙敌,2,巡猎
序师执迟彝,2,巡猎
流岚追孽物,2,巡猎
参连讨妖星,2,巡猎
云镝逐步离,2,巡猎
飞虹诛凿齿,2,巡猎
灾难性共振,2,毁灭
预兆性景深,2,毁灭
灭绝性潮汐,2,毁灭
衰亡性爆缩,2,毁灭
戒律性闪变,2,毁灭
扰乱性脉冲,2,毁灭
